      0: system.pc.south_bridge.cmos.rtc: Real-time clock set to Sun Jan  1 00:00:00 2012
  3635730225050   2    L0Cache         Use_Timeout    M_W>M      [0x2354cb840, line 0x2354cb840] 
  3635730225050   5        Seq                Done       >       [0x111dab8, line 0x111da80] 2 cycles
  3635730225050   5    L0Cache              Ifetch      S>S      [0x111da80, line 0x111da80] 
  3635730225050   4        Seq                Done       >       [0x111d9c8, line 0x111d9c0] 2 cycles
  3635730225050   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730225435   5        Seq               Begin       >       [0x2355d7d08, line 0x2355d7d00] LD
  3635730225435   4        Seq               Begin       >       [0x111d9c8, line 0x111d9c0] IFETCH
  3635730225435   2        Seq                Done       >       [0x235524d70, line 0x235524d40] 2 cycles
  3635730225435   2    L0Cache                Load      M>M      [0x235524d40, line 0x235524d40] 
  3635730225435   1        Seq                Done       >       [0x23559acd8, line 0x23559acc0] 2 cycles
  3635730225435   1    L0Cache               Store      M>M      [0x23559acc0, line 0x23559acc0] 
  3635730225820   2        Seq               Begin       >       [0x1118820, line 0x1118800] IFETCH
  3635730225820   1        Seq               Begin       >       [0x108db90, line 0x108db80] IFETCH
  3635730226205   4        Seq                Done       >       [0x111d9c8, line 0x111d9c0] 2 cycles
  3635730226205   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730226205   5        Seq                Done       >       [0x2355d7d08, line 0x2355d7d00] 2 cycles
  3635730226205   5    L0Cache                Load      M>M      [0x2355d7d00, line 0x2355d7d00] 
  3635730226205   7        Seq                Done       >       [0x23692a8f8, line 0x23692a8c0] 44 cycles
  3635730226205   7    L0Cache                Data     IS>S      [0x23692a8c0, line 0x23692a8c0] 
  3635730226590   4        Seq               Begin       >       [0x111d9c8, line 0x111d9c0] IFETCH
  3635730226590   5        Seq               Begin       >       [0x111dab8, line 0x111da80] IFETCH
  3635730226590   7        Seq               Begin       >       [0x1118618, line 0x1118600] IFETCH
  3635730226590   1        Seq                Done       >       [0x108db90, line 0x108db80] 2 cycles
  3635730226590   1    L0Cache              Ifetch      S>S      [0x108db80, line 0x108db80] 
  3635730226590   2        Seq                Done       >       [0x1118820, line 0x1118800] 2 cycles
  3635730226590   2    L0Cache              Ifetch      S>S      [0x1118800, line 0x1118800] 
  3635730226975   1        Seq               Begin       >       [0x237e59580, line 0x237e59580] LD
  3635730226975   2        Seq               Begin       >       [0x235524d78, line 0x235524d40] LD
  3635730227360   7        Seq                Done       >       [0x1118618, line 0x1118600] 2 cycles
  3635730227360   7    L0Cache              Ifetch      S>S      [0x1118600, line 0x1118600] 
  3635730227360   5        Seq                Done       >       [0x111dab8, line 0x111da80] 2 cycles
  3635730227360   5    L0Cache              Ifetch      S>S      [0x111da80, line 0x111da80] 
  3635730227360   4        Seq                Done       >       [0x111d9c8, line 0x111d9c0] 2 cycles
  3635730227360   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730227745   7        Seq               Begin       >       [0x1118630, line 0x1118600] IFETCH
  3635730227745   5        Seq               Begin       >       [0x111dac0, line 0x111dac0] IFETCH
  3635730227745   4        Seq               Begin       >       [0x111d9d0, line 0x111d9c0] IFETCH
  3635730227745   2        Seq                Done       >       [0x235524d78, line 0x235524d40] 2 cycles
  3635730227745   2    L0Cache                Load      M>M      [0x235524d40, line 0x235524d40] 
  3635730227745   1        Seq                Done       >       [0x237e59580, line 0x237e59580] 2 cycles
  3635730227745   1    L0Cache                Load      S>S      [0x237e59580, line 0x237e59580] 
  3635730228130   2        Seq               Begin       >       [0x1124fb0, line 0x1124f80] IFETCH
  3635730228130   1        Seq               Begin       >       [0x108db98, line 0x108db80] IFETCH
  3635730228515   4        Seq                Done       >       [0x111d9d0, line 0x111d9c0] 2 cycles
  3635730228515   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730228515   5        Seq                Done       >       [0x111dac0, line 0x111dac0] 2 cycles
  3635730228515   5    L0Cache              Ifetch      S>S      [0x111dac0, line 0x111dac0] 
  3635730228515   7        Seq                Done       >       [0x1118630, line 0x1118600] 2 cycles
  3635730228515   7    L0Cache              Ifetch      S>S      [0x1118600, line 0x1118600] 
  3635730228900   4        Seq               Begin       >       [0x111d9d0, line 0x111d9c0] IFETCH
  3635730228900   5        Seq               Begin       >       [0x111dac0, line 0x111dac0] IFETCH
  3635730228900   7        Seq               Begin       >       [0x1118630, line 0x1118600] IFETCH
  3635730228900   1        Seq                Done       >       [0x108db98, line 0x108db80] 2 cycles
  3635730228900   1    L0Cache              Ifetch      S>S      [0x108db80, line 0x108db80] 
  3635730228900   2        Seq                Done       >       [0x1124fb0, line 0x1124f80] 2 cycles
  3635730228900   2    L0Cache              Ifetch      S>S      [0x1124f80, line 0x1124f80] 
  3635730229285   1        Seq               Begin       >       [0x108db98, line 0x108db80] IFETCH
  3635730229285   2        Seq               Begin       >       [0x1124fb0, line 0x1124f80] IFETCH
  3635730229500   4    L2Cache             L1_PUTS    SLS>SLS    [0x107a700, line 0x107a700] 
3635730229500: system.ruby.l2_cntrl4: MOESI_NINE_three_level-L2cache-SF.sm:323: copyCacheStateToDirAndAllocate, 0x2354f2700
  3635730229500   4    L2Cache             L1_GETS      M>OO     [0x2354f2700, line 0x2354f2700] 
  3635730229670   7        Seq                Done       >       [0x1118630, line 0x1118600] 2 cycles
  3635730229670   7    L0Cache              Ifetch      S>S      [0x1118600, line 0x1118600] 
  3635730229670   5        Seq                Done       >       [0x111dac0, line 0x111dac0] 2 cycles
  3635730229670   5    L0Cache              Ifetch      S>S      [0x111dac0, line 0x111dac0] 
  3635730229670   4        Seq                Done       >       [0x111d9d0, line 0x111d9c0] 2 cycles
  3635730229670   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730230000   3    L2Cache             Unblock   SLSS>SLS    [0x23692a8c0, line 0x23692a8c0] 
  3635730230055   7        Seq               Begin       >       [0x1118638, line 0x1118600] IFETCH
  3635730230055   5        Seq               Begin       >       [0x111dac0, line 0x111dac0] IFETCH
  3635730230055   4        Seq               Begin       >       [0x111d9d0, line 0x111d9c0] IFETCH
  3635730230055   2        Seq                Done       >       [0x1124fb0, line 0x1124f80] 2 cycles
  3635730230055   2    L0Cache              Ifetch      S>S      [0x1124f80, line 0x1124f80] 
  3635730230055   1        Seq                Done       >       [0x108db98, line 0x108db80] 2 cycles
  3635730230055   1    L0Cache              Ifetch      S>S      [0x108db80, line 0x108db80] 
  3635730230440   2        Seq               Begin       >       [0x235524d80, line 0x235524d80] LD
  3635730230440   1        Seq               Begin       >       [0x108dbf8, line 0x108dbc0] IFETCH
  3635730230825   4        Seq                Done       >       [0x111d9d0, line 0x111d9c0] 2 cycles
